Subject,Start  Date,Start Time,End Date,End Time,All day event,Description,Location,Private
Lecture_Schedule2.pdf,"01/12/21
",,"01/12/21
",,,,,,
Lecture_Schedule2.pdf,"01/13/21
",,"01/13/21
",,,,,,
Lecture_Schedule2.pdf,"01/19/21
",,"01/19/21
",,,,,,
Lecture_Schedule2.pdf,"01/20/21
",,"01/20/21
",,,,,,
Lecture_Schedule2.pdf,"01/26/21
",,"01/26/21
",,,,,,
Lecture_Schedule2.pdf,"01/27/21
",,"01/27/21
",,,,,,
Lecture_Schedule2.pdf,"02/02/21
",,"02/02/21
",,,,,,
Lecture_Schedule2.pdf,"02/03/21
",,"02/03/21
",,,,,,
Lecture_Schedule2.pdf,"02/09/21
",,"02/09/21
",,,,,,
Lecture_Schedule2.pdf,"02/10/21
",,"02/10/21
",,,,,,
Lecture_Schedule2.pdf,"02/23/21
",,"02/23/21
",,,,,,
Lecture_Schedule2.pdf,"02/24/21
",,"02/24/21
",,,,,,
Lecture_Schedule2.pdf,"03/02/21
",,"03/02/21
",,,,,,
Lecture_Schedule2.pdf,"03/09/21
",,"03/09/21
",,,,,,
Lecture_Schedule2.pdf,"03/16/21
",,"03/16/21
",,,,,,
Lecture_Schedule2.pdf,"03/17/21
",,"03/17/21
",,,,,,
Lecture_Schedule2.pdf,"03/23/21
",,"03/23/21
",,,,,,
Lecture_Schedule2.pdf,"03/30/21
",,"03/30/21
",,,,,,
Lecture_Schedule2.pdf,"03/31/21
",,"03/31/21
",,,,,,
Lecture_Schedule2.pdf,"04/06/21
",,"04/06/21
",,,,,,
